                mar1  chr1               mar2 chr2 fem  mal    LOD
          AFMa115yc9  1            AFMb313yd5  2  0.50 0.07   5.00
          AFMa115yc9  1             AFM339yf9  2  0.50 0.00   5.42
          AFMa115yc9  1            AFMb040xf5  2  0.50 0.00   3.91
          AFMa115yc9  1            AFMc011xh5  2  0.50 0.00   5.42
          AFMa115yc9  1                 UT668  2  0.50 0.00   3.61
          AFMa115yc9  1             AFM303ze1  2  0.47 0.07   5.02
          AFMa115yc9  1            AFMa066ze9  2  0.50 0.08   4.24
          AFMa115yc9  1             GATA86E02  2  0.47 0.08   3.92
          AFMa115yc9  1              ATA21D11  2  0.46 0.11   3.76
          AFMa115yc9  1            AFMa130wg1  2  0.45 0.11   4.03
          AFMa115yc9  1            AFMc018xg5  2  0.43 0.11   4.10
          AFMa115yc9  1            AFM211zd10  2  0.50 0.11   3.69
          AFMa115yc9  1            AFMc014yc1  2  0.50 0.11   3.44
          AFMa115yc9  1            AFMb351xf1  2  0.50 0.11   3.69
          AFMa115yc9  1            AFMa142yf1  2  0.47 0.11   4.00
          AFMa115yc9  1            GATA194B06  2  0.50 0.13   3.06
          AFMa115yc9  1            AFMb325wf9  2  0.50 0.14   3.14
            GATA4H09  1            AFMb009xf1  2  0.50 0.20   3.05
            GATA4H09  1               ATA3G09  2  0.49 0.12   3.24
          AFMa282ze9  1               ATA3G09  2  0.46 0.11   3.77
          AFMa282ze9  1            AFMb313yd5  2  0.46 0.21   3.13
              Mfd255  1            AFMa305wh9  2  0.48 0.11   4.01
              Mfd255  1               ATA3G09  2  0.43 0.14   3.15
          GATA194H05  1                 UT868  2  0.50 0.00   3.31
          GATA194H05  1             AFM318za9  2  0.32 0.15   3.07
          GATA194H05  1                 UT668  2  0.00 0.00   4.52
               UT860  1            AFMa341ye1  2  0.48 0.10   3.20
               UT860  1             AFM303yf1  2  0.50 0.00   3.31
           AFM280za5  1                UT7687  2  0.00 0.00   3.01
           AFM280za5  1                 UT868  2  0.43 0.10   3.25
           AFM280za5  1            AFMa108yf1  2  0.47 0.00   3.04
           AFM280za5  1            AFMa305wh9  2  0.47 0.00   3.32
           AFM280za5  1            AFMb082zd5  2  0.47 0.10   3.16
          AFMb317wf1  1                 UT868  2  0.49 0.00   3.32
          AFMb317wf1  1                  APOB  2  0.39 0.18   3.13
          AFMb317wf1  1             AFM318za9  2  0.37 0.00   3.46
          AFMb317wf1  1                 UT668  2  0.45 0.00   3.07
          AFMa204zh1  1                 UT868  2  0.48 0.00   3.32
           AFM284zd1  1                 UT868  2  0.50 0.00   3.31
           AFM284zd1  1             AFM331zg5  2  0.50 0.22   3.12
           AFM284zd1  1               ATA3G09  2  0.50 0.16   3.42
          AFMa130vd9  1                 UT868  2  0.45 0.00   3.35
          AFMa130vd9  1             AFM331zg5  2  0.48 0.00   3.32
          AFMa130vd9  1            AFMa341ye1  2  0.50 0.00   3.01
          AFMa130vd9  1            AFMa238xc9  2  0.43 0.00   3.40
          AFMa130vd9  1                Mfd307  2  0.50 0.00   3.31
          AFMa130vd9  1             AFM303yf1  2  0.50 0.00   3.31
          AFMa130vd9  1             AFM318za9  2  0.00 0.00   3.31
          AFMa130vd9  1                 UT668  2  0.20 0.00   3.85
           AFM347tf5  1                UT7687  2  0.00 0.45   3.03
           GATA64F05  1            AFM200yg11  2  0.49 0.20   3.39
           GATA64F05  1            AFMa341ye1  2  0.49 0.21   3.14
           GATA64F05  1            AFMa108yf1  2  0.50 0.16   3.08
           GATA64F05  1               ATA3G09  2  0.45 0.00   5.11
           GATA64F05  1             AFM337yf9  2  0.50 0.21   3.15
           GATA64F05  1            AFMb313yd5  2  0.50 0.17   3.79
               Mfd64  1            AFMb009xf1  2  0.49 0.21   3.40
               Mfd64  1             AFM303yf1  2  0.50 0.21   3.60
               Mfd64  1            AFMa130wg1  2  0.50 0.24   3.02
               Mfd64  1            AFMc014yc1  2  0.47 0.24   3.03
           AFM321xe5  1                UT7687  2  0.00 0.45   3.03
           GATA44E05  1            AFMa341ye1  2  0.47 0.24   3.02
           GATA44E05  1            AFMb009xf1  2  0.50 0.25   3.21
           GATA44E05  1             AFM303yf1  2  0.50 0.23   3.47
           GATA44E05  1             AFM337yf9  2  0.50 0.27   3.17
           GATA44E05  1            AFMc018xg5  2  0.50 0.22   3.09
           AFM184xa9  1               ATA3G09  2  0.45 0.13   3.63
          AFM119yh10  1                UT5146  2  0.47 0.10   3.48
          AFM119yh10  1                 UT868  2  0.49 0.00   3.32
          AFM119yh10  1             AFM331zg5  2  0.50 0.17   3.57
          AFM119yh10  1                  APOB  2  0.37 0.13   3.42
          AFM119yh10  1               ATA3G09  2  0.44 0.11   3.76
          AFM119yh10  1            AFMb313yd5  2  0.49 0.21   3.16
           AFM238ya7  1            AFM200yg11  2  0.50 0.23   3.01
           AFM238ya7  1            AFMa108yf1  2  0.50 0.14   3.14
           AFM238ya7  1            AFMa305wh9  2  0.50 0.13   3.01
           AFM238ya7  1            AFMb009xf1  2  0.50 0.20   3.05
           AFM238ya7  1               ATA3G09  2  0.50 0.13   3.32
           AFM238ya7  1             AFM296vg9  2  0.50 0.21   3.17
           AFM238ya7  1            AFMa130wg1  2  0.50 0.21   3.17
           AFM088xe5  1            AFMa341ye1  2  0.50 0.00   4.21
          AFMa245wd5  1            AFM200yg11  2  0.50 0.20   3.17
          AFMa245wd5  1            AFMa341ye1  2  0.50 0.17   3.57
          AFMa245wd5  1            AFMa108yf1  2  0.50 0.16   3.08
          AFMa245wd5  1            AFMa305wh9  2  0.50 0.10   3.20
          AFMa245wd5  1            AFMb009xf1  2  0.50 0.17   3.27
